Family_No,g_score,gf_score,gc_score,g_score_family,gf_score_family,gc_score_family,Age,Gender,Handedness,FD_mean,Spikes_mean
367,-0.943287010167473,-0.399586784061617,-0.931786225601211,-0.943287010167473,-0.399586784061617,-0.931786225601211,25,1,100,0.0833278576996173,24.1666666666667
306,-0.720152602686733,-0.0018455014131942,-0.643139374680812,-0.934232581574532,-0.271789626108754,-0.708910782719061,36,0,75,0.0515652545884991,1.38888888888889
306,-1.14831256046233,-0.541733750804313,-0.77468219075731,-0.934232581574532,-0.271789626108754,-0.708910782719061,32,1,80,0.0802132318232829,0.333333333333333
153,-0.890889111368366,-0.329367015954958,-0.976245522453301,-0.890889111368366,-0.329367015954958,-0.976245522453301,34,1,80,0.123245761081165,0.222222222222222
11,-0.78209720822578,-0.317651273403678,-1.61638348956737,-0.839146105731538,-0.0438665371229677,-1.21822427353216,30,0,100,0.125782682131053,5.72222222222222
11,-1.83641643665926,-0.44564492874953,-1.49025423928052,-0.839146105731538,-0.0438665371229677,-1.21822427353216,26,0,90,0.0934507923483919,12.1111111111111
11,0.101075327690427,0.631696590784305,-0.548035091748575,-0.839146105731538,-0.0438665371229677,-1.21822427353216,25,0,100,0.104191023927838,2
326,-0.834058442952331,-0.847979473100449,-0.0417192773682597,-0.834058442952331,-0.847979473100449,-0.0417192773682597,31,0,85,0.0669464954827044,0.777777777777778
212,-0.807087211071308,0.0285519166004432,-0.688768635375191,-0.807087211071308,0.0285519166004432,-0.688768635375191,31,1,60,0.0779537246189441,3.11111111111111
53,-1.1003892830662,-0.756140843449586,-0.924757698063275,-0.753578853011339,-0.326759968021746,-1.02528061438582,23,0,80,0.11603310030941,1.94444444444444
53,-0.406768422956478,0.102620907406094,-1.12580353070837,-0.753578853011339,-0.326759968021746,-1.02528061438582,28,0,80,0.066398469279185,0.277777777777778
302,-0.741961537811957,-0.983477867309603,-0.737597438138297,-0.741961537811957,-0.983477867309603,-0.737597438138297,27,1,100,0.10475284518063,6.33333333333333
245,-0.919577865112753,-0.0207112157545003,-0.955223071474229,-0.731177268250489,0.0772995855071918,-0.877533152424527,31,0,20,0.117755398644176,4.77777777777778
245,-0.542776671388225,0.175310386768884,-0.799843233374825,-0.731177268250489,0.0772995855071918,-0.877533152424527,31,0,100,0.0588052003107393,2.66666666666667
